LJ031-0001|Report of the President's Commission on the Assassination of President Kennedy.|Report of the President's Commission on the Assassination of President Kennedy.
LJ031-0181|onto the rear of the Presidential plane where seats had been removed to make room.|onto the rear of the Presidential plane where seats had been removed to make room.
LJ031-0182|Concerned that the local officials might try to prevent the plane's departure, O'Donnell asked that the pilot take off immediately.|Concerned that the local officials might try to prevent the plane's departure, O'Donnell asked that the pilot take off immediately.
LJ031-0183|He was informed that takeoff would be delayed until Vice President Johnson was sworn in.|He was informed that takeoff would be delayed until Vice President Johnson was sworn in.
LJ031-0184|Swearing in of the New President|Swearing in of the New President
LJ031-0185|From the Presidential airplane, the Vice President telephoned Attorney General Robert F. Kennedy,|From the Presidential airplane, the Vice President telephoned Attorney General Robert F. Kennedy,
LJ031-0186|who advised that Mr. Johnson take the Presidential oath of office before the plane left Dallas.|who advised that Mr. Johnson take the Presidential oath of office before the plane left Dallas.
LJ031-0187|Federal Judge Sarah T. Hughes hastened to the plane to administer the oath.|Federal Judge Sarah T. Hughes hastened to the plane to administer the oath.
LJ031-0188|Members of the Presidential and Vice-Presidential parties filled the central compartment of the plane to witness the swearing in.|Members of the Presidential and Vice-Presidential parties filled the central compartment of the plane to witness the swearing in.
LJ031-0189|At 2:38 p.m., Eastern Standard Time, Lyndon Baines Johnson took the oath of office as the 36th President of the United States.|At two:thirty-eight p.m., Eastern Standard Time, Lyndon Baines Johnson took the oath of office as the thirty-sixth President of the United States.
LJ031-0190|Mrs. Kennedy and Mrs. Johnson stood at the side of the new President as he took the oath of office.|Mrs. Kennedy and Mrs. Johnson stood at the side of the new President as he took the oath of office.
LJ031-0191|Nine minutes later, the Presidential airplane departed for Washington, D.C.|Nine minutes later, the Presidential airplane departed for Washington, D.C.
LJ031-0192|Return to Washington, D.C.|Return to Washington, D.C.
LJ031-0193|On the return flight, Mrs. Kennedy sat with David Powers, Kenneth O'Donnell, and Lawrence O'Brien.|On the return flight, Mrs. Kennedy sat with David Powers, Kenneth O'Donnell, and Lawrence O'Brien.
LJ031-0194|At 5:58 p.m. Eastern Standard Time,|At five:fifty-eight p.m. Eastern Standard Time,
LJ031-0195|Air Force One landed at Andrews Air Force Base, where President Kennedy had begun his last trip only 31 hours before.|Air Force One landed at Andrews Air Force Base, where President Kennedy had begun his last trip only thirty-one hours before.
LJ031-0196|Detailed security arrangements had been made by radio from the President's plane on the return flight.|Detailed security arrangements had been made by radio from the President's plane on the return flight.
LJ031-0197|The public had been excluded from the base, and only Government officials and the press were permitted near the landing area.|The public had been excluded from the base, and only Government officials and the press were permitted near the landing area.
LJ031-0198|Upon arrival, President Johnson made a brief statement over television and radio.|Upon arrival, President Johnson made a brief statement over television and radio.
LJ031-0199|President and Mrs. Johnson were flown by helicopter to the White House, from where Mrs. Johnson was driven to her residence under Secret Service escort.|President and Mrs. Johnson were flown by helicopter to the White House, from where Mrs. Johnson was driven to her residence under Secret Service escort.
LJ031-0200|The President then walked to the Executive Office Building, where he worked until 9 p.m.|The President then walked to the Executive Office Building, where he worked until nine p.m.
LJ031-0201|Given a choice between the National Naval Medical Center at Bethesda, Maryland, and the Army's Walter Reed Hospital,|Given a choice between the National Naval Medical Center at Bethesda, Maryland, and the Army's Walter Reed Hospital,
LJ031-0202|Mrs. Kennedy chose the hospital in Bethesda for the autopsy because the President had served in the Navy.|Mrs. Kennedy chose the hospital in Bethesda for the autopsy because the President had served in the Navy.
LJ031-0203|Mrs. Kennedy and the Attorney General,|Mrs. Kennedy and the Attorney General,
LJ031-0204|with three Secret Service agents, accompanied President Kennedy's body on the 45-minute automobile trip from Andrews Air Force Base to the hospital.|with three Secret Service agents, accompanied President Kennedy's body on the forty-five-minute automobile trip from Andrews Air Force Base to the hospital.
LJ031-0205|On the 17th floor of the Hospital, Mrs. Kennedy and the Attorney General joined other members of the Kennedy family to await the conclusion of the autopsy.|On the seventeenth floor of the Hospital, Mrs. Kennedy and the Attorney General joined other members of the Kennedy family to await the conclusion of the autopsy.
LJ031-0206|Mrs. Kennedy was guarded by Secret Service agents in quarters assigned to her in the naval hospital.|Mrs. Kennedy was guarded by Secret Service agents in quarters assigned to her in the naval hospital.
LJ031-0207|The Secret Service established a communication system with the White House and screened all telephone calls and visitors.|The Secret Service established a communication system with the White House and screened all telephone calls and visitors.
LJ031-0208|The hospital received the President's body for autopsy at approximately 7:35 p.m.|The hospital received the President's body for autopsy at approximately seven:thirty-five p.m.
